1	3657
10	79
102	3
105	2
106	2
108	1
109	2
11	66
111	1
113	2
116	1
117	2
118	1
119	3
12	55
120	2
123	1
124	1
126	1
129	2
13	47
1308	1
132	1
133	1
139	1
14	51
142	1
143	1
144	1
145	1
15	44
150	1
151	1
153	1
1573	1
159	1
16	34
166	1
168	1
17	31
170	1
171	1
172	1
173	1
174	1
175	1
18	36
182	1
184	1
189	1
19	34
191	1
192	1
197	1
2	5857
20	21
202	1
204	1
208	1
209	1
21	21
212	1
22	22
23	28
24	19
242	1
243	1
247	1
25	13
26	22
2637	1
267	1
27	12
272	1
28	19
29	13
299	1
3	1585
30	14
31	9
316	1
32	9
33	13
334	1
34	6
35	9
36	13
367	1
37	13
38	3
39	8
4	591
40	4
41	7
42	5
426	1
428	1
43	4
44	4
45	2
46	4
47	6
476	1
48	7
49	5
5	321
50	5
51	3
52	1
53	4
54	2
55	3
56	3
57	6
579	2
58	5
59	2
6	190
60	9
61	2
62	2
63	6
646	1
65	1
654	1
66	1
67	3
68	1
69	5
7	152
70	5
71	3
72	1
73	2
74	1
75	2
77	1
78	2
79	6
790	1
8	119
80	1
81	2
818	1
82	2
83	3
84	2
85	1
86	2
87	3
89	1
9	96
91	3
92	2
93	3
95	3
96	3
97	2
98	1
