w,q,Tq,Tw,Ts
20.0,21.0,0.0900429008953526,0.07483384609275291,0.015209054802599705
21.0,22.0,0.0900429008953526,0.07483384609275291,0.015209054802599705
21.666666666666668,22.666666666666668,0.0900429008953526,0.07483384609275291,0.015209054802599705
22.25,23.25,0.0900429008953526,0.07483384609275291,0.015209054802599705
22.6,23.6,0.0900429008953526,0.07483384609275291,0.015209054802599705
22.833333333333332,23.833333333333332,0.0900429008953526,0.07483384609275291,0.015209054802599705
23.0,24.0,0.0902075828012635,0.07498730765982803,0.015220275141435483
23.125,24.125,0.09050958310261183,0.07530221442234875,0.015207368680263093
23.22222222222222,24.22222222222222,0.09080594168207143,0.07561351613522886,0.015192425546842572
23.1,24.1,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.09090909090909,24.09090909090909,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.166666666666668,24.166666666666668,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.23076923076923,24.23076923076923,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.285714285714285,24.285714285714285,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.333333333333332,24.333333333333332,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.375,24.375,0.09114965922469999,0.07595310217716666,0.01519655704753335
23.352941176470587,24.352941176470587,0.09136341607725779,0.07613979300139069,0.015223623075867129
23.333333333333332,24.333333333333332,0.09136341607725779,0.07613979300139069,0.015223623075867129
23.31578947368421,24.31578947368421,0.09136341607725779,0.07613979300139069,0.015223623075867129
23.35,24.35,0.09156711455432734,0.07634321132947379,0.015223903224853565
23.333333333333332,24.333333333333332,0.09176240073938537,0.07654749749982827,0.015214903239557114
23.318181818181817,24.318181818181817,0.09176240073938537,0.07654749749982827,0.015214903239557114
23.347826086956523,24.347826086956523,0.09176240073938537,0.07654749749982827,0.015214903239557114
23.375,24.375,0.09176240073938537,0.07654749749982827,0.015214903239557114
23.36,24.36,0.0923105110511394,0.07711691829534759,0.015193592755791834
23.307692307692307,24.307692307692307,0.09247265421153163,0.07728579194477679,0.015186862266754845
23.25925925925926,24.25925925925926,0.09247265421153163,0.07728579194477679,0.015186862266754845
23.214285714285715,24.214285714285715,0.09247265421153163,0.07728579194477679,0.015186862266754845
23.20689655172414,24.20689655172414,0.09247265421153163,0.07728579194477679,0.015186862266754845
23.2,24.2,0.09263784829578695,0.07745716861960034,0.015180679676186623
23.193548387096776,24.193548387096776,0.09263784829578695,0.07745716861960034,0.015180679676186623
23.15625,24.15625,0.09280539287730905,0.07762550379227193,0.015179889085037144
23.181818181818183,24.181818181818183,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.205882352941178,24.205882352941178,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.257142857142856,24.257142857142856,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.333333333333332,24.333333333333332,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.405405405405407,24.405405405405407,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.473684210526315,24.473684210526315,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.615384615384617,24.615384615384617,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.75,24.75,0.09297263872610406,0.07780365386308542,0.015168984863018656
23.926829268292682,24.926829268292682,0.0936270190897028,0.07842322185642252,0.015203797233280303
24.11904761904762,25.11904761904762,0.0936270190897028,0.07842322185642252,0.015203797233280303
24.302325581395348,25.302325581395348,0.0936270190897028,0.07842322185642252,0.015203797233280303
24.477272727272727,25.477272727272727,0.09401221406519564,0.07880744107464259,0.015204772990553063
24.644444444444446,25.644444444444446,0.09401221406519564,0.07880744107464259,0.015204772990553063
24.782608695652176,25.782608695652176,0.0942137052819106,0.07901073503869943,0.01520297024321118
24.97872340425532,25.97872340425532,0.0942137052819106,0.07901073503869943,0.01520297024321118
25.166666666666668,26.166666666666668,0.0942137052819106,0.07901073503869943,0.01520297024321118
25.367346938775512,26.367346938775512,0.09462286631597036,0.07943137609509873,0.015191490220871644
25.56,26.56,0.09462286631597036,0.07943137609509873,0.015191490220871644
25.725490196078432,26.725490196078432,0.09483299238199416,0.07964585427666993,0.015187138105324257
25.884615384615383,26.884615384615383,0.09483299238199416,0.07964585427666993,0.015187138105324257
26.07547169811321,27.07547169811321,0.09504366702174019,0.07985480360258712,0.015188863419153096
26.203703703703702,27.203703703703702,0.09566241411469811,0.08050508775957162,0.015157326355126512
26.30909090909091,27.30909090909091,0.09601658605939849,0.08087021484210692,0.015146371217291564
26.410714285714285,27.410714285714285,0.09601658605939849,0.08087021484210692,0.015146371217291564
26.473684210526315,27.473684210526315,0.09630788941733012,0.08117962683213475,0.015128262585195363
26.53448275862069,27.53448275862069,0.09630788941733012,0.08117962683213475,0.015128262585195363
26.593220338983052,27.593220338983052,0.09630788941733012,0.08117962683213475,0.015128262585195363
26.616666666666667,27.616666666666667,0.09675264449406862,0.08164290828567486,0.015109736208393757
26.704918032786885,27.704918032786885,0.09675264449406862,0.08164290828567486,0.015109736208393757
26.806451612903224,27.806451612903224,0.09691087377348809,0.08178682058624481,0.015124053187243282
26.904761904761905,27.904761904761905,0.09691087377348809,0.08178682058624481,0.015124053187243282
27.0,28.0,0.09691087377348809,0.08178682058624481,0.015124053187243282
27.092307692307692,28.092307692307692,0.09691087377348809,0.08178682058624481,0.015124053187243282
27.181818181818183,28.181818181818183,0.09691087377348809,0.08178682058624481,0.015124053187243282
27.253731343283583,28.253731343283583,0.09708634932135135,0.08195313768371645,0.015133211637634906
