w,q,Tq,Tw,Ts,Pr(Sk)
1.0,2.0,0.026477043180960905,0.011720338361740688,0.014756704819220177,0.1409744408945687
1.0,2.0,0.026477043180960905,0.011720338361740688,0.014756704819220177,0.1409744408945687
1.3333333333333333,2.3333333333333335,0.026477043180960905,0.011720338361740688,0.014756704819220177,0.14095568182059737
1.25,2.25,0.02649085942992631,0.011714887041572437,0.014775972388353834,0.1409463022836117
1.0,2.0,0.02650760527864081,0.011738122651441698,0.014769482627199074,0.1409979672357446
0.8333333333333334,1.6666666666666667,0.02650028571820715,0.011735457942759557,0.014764827775447555,0.1410324105371665
0.7142857142857143,1.4285714285714286,0.02650028571820715,0.011735457942759557,0.014764827775447555,0.141057012895325
0.625,1.25,0.02650028571820715,0.011735457942759557,0.014764827775447555,0.14107546466394388
0.5555555555555556,1.1111111111111112,0.02650028571820715,0.011735457942759557,0.014764827775447555,0.14108981603953633
0.5,1.0,0.02650028571820715,0.011735457942759557,0.014764827775447555,0.1411012971400103
0.45454545454545453,0.9090909090909091,0.026488420838001098,0.011730009726444442,0.014758411111556615,0.14110557243263225
0.4166666666666667,0.8333333333333334,0.026488420838001098,0.011730009726444442,0.014758411111556615,0.14110913517648385
0.38461538461538464,0.7692307692307693,0.026488420838001098,0.011730009726444442,0.014758411111556615,0.14111214980589676
0.35714285714285715,0.7857142857142857,0.026488420838001098,0.011730009726444442,0.014758411111556615,0.14111071543070475
0.3333333333333333,0.7333333333333333,0.026476695754188394,0.011724566566478575,0.014752129187709781,0.14110947230553833
0.3125,0.75,0.026476695754188394,0.011724566566478575,0.014752129187709781,0.14110487132229876
0.29411764705882354,0.7647058823529411,0.026476695754188394,0.011724566566478575,0.014752129187709781,0.14110081163120503
0.2777777777777778,0.7777777777777778,0.026476695754188394,0.011724566566478575,0.014752129187709781,0.1410972030168995
0.2631578947368421,0.7894736842105263,0.026476695754188394,0.011724566566478575,0.014752129187709781,0.14109397425673137
0.3,0.85,0.026476695754188394,0.011724566566478575,0.014752129187709781,0.14108826001223412
0.2857142857142857,0.8571428571428571,0.02648989495838344,0.011726218983760871,0.014763675974622527,0.1410804174820792
0.36363636363636365,0.9545454545454546,0.02648989495838344,0.011726218983760871,0.014763675974622527,0.14106819195322357
0.43478260869565216,1.0434782608695652,0.02648989495838344,0.011726218983760871,0.014763675974622527,0.14105702951383364
0.5,1.125,0.02648989495838344,0.011726218983760871,0.014763675974622527,0.1410467972777262
0.56,1.2,0.02649445053942696,0.011722592143217565,0.014771858396209361,0.14103514407448992
0.6153846153846154,1.2692307692307692,0.02649445053942696,0.011722592143217565,0.014771858396209361,0.14102438727150257
0.5925925925925926,1.2592592592592593,0.02652826121023831,0.01175300568007961,0.014775255530158663,0.14102707586634594
0.6071428571428571,1.2857142857142858,0.026526172009158796,0.011756210635210467,0.01476996137394829,0.14102556989460732
0.6206896551724138,1.3103448275862069,0.026526172009158796,0.011756210635210467,0.01476996137394829,0.14102416778298862
0.6333333333333333,1.3333333333333333,0.026526172009158796,0.011756210635210467,0.01476996137394829,0.14102285914547785
0.6774193548387096,1.3870967741935485,0.026526172009158796,0.011756210635210467,0.01476996137394829,0.1410308263107799
0.6875,1.40625,0.026528249087872057,0.011750772979967539,0.014777476107904478,0.1410382955282506
0.6666666666666666,1.393939393939394,0.026532258228778215,0.011759375475966607,0.01477288275281157,0.14104531206587456
0.6470588235294118,1.3823529411764706,0.026532258228778215,0.011759375475966607,0.01477288275281157,0.14105191586599125
0.6285714285714286,1.3714285714285714,0.026532258228778215,0.011759375475966607,0.01477288275281157,0.14105814230610125
0.6111111111111112,1.3611111111111112,0.026532258228778215,0.011759375475966607,0.01477288275281157,0.1410640228328718
0.5945945945945946,1.3513513513513513,0.02653871541949905,0.011764761321860212,0.014773954097638802,0.14106807097376753
0.6052631578947368,1.368421052631579,0.02653871541949905,0.011764761321860212,0.014773954097638802,0.14107043256027113
0.6153846153846154,1.3846153846153846,0.02653871541949905,0.011764761321860212,0.014773954097638802,0.14107267303977455
0.65,1.425,0.02653871541949905,0.011764761321860212,0.014773954097638802,0.14107340278532202
0.6585365853658537,1.4390243902439024,0.026534621481358725,0.011759327251965587,0.0147752942293931,0.14107409693352568
0.6428571428571429,1.4047619047619047,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.141074758027053
0.627906976744186,1.372093023255814,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107538837204414
0.6136363636363636,1.3409090909090908,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107599006499025
0.6,1.3111111111111111,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107656501602764
0.5869565217391305,1.2826086956521738,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107711496919384
0.574468085106383,1.2553191489361701,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107764152009764
0.5625,1.2291666666666667,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107814613138045
0.5510204081632653,1.2040816326530612,0.02652577457621886,0.0117588210930463,0.014766953483172522,0.14107863014628438
0.54,1.18,0.026524911689412917,0.011753397282579028,0.014771514406833853,0.14107797671926994
0.5294117647058824,1.1568627450980393,0.026524911689412917,0.011753397282579028,0.014771514406833853,0.14107734891684431
0.5192307692307693,1.1346153846153846,0.026513755236787975,0.011747978473320117,0.014765776763467822,0.14107567103401847
0.5094339622641509,1.1132075471698113,0.026513755236787975,0.011747978473320117,0.014765776763467822,0.1410740564675257
0.5,1.1111111111111112,0.026513755236787975,0.011747978473320117,0.014765776763467822,0.1410714680783511
